Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Cầu Mống;Triều Lên;HCM_NM_CMo;HCM_NM_CMo_L;Khu vực cầu Mống, phường Xóm Chiểu;Cầu Mống - HCM_NM_CMo - Triều Lên;Cầu Mống - Triều Lên;Cầu Mống - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Mống - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Mống - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Mống - Triều Lên (QC - Mẫu trắng thiết bị)
Tân Thuận;Triều Lên;HCM_NM_TThu;HCM_NM_TThu_L;Khu vực cầu Tân Thuận, phường Tân Thuận. Đoạn kênh Tẻ đổ ra sông Sài Gòn;Tân Thuận - HCM_NM_TThu - Triều Lên;Tân Thuận - Triều Lên;Tân Thuận - Triều Lên (QC - Mẫu lặp hiện trường);Tân Thuận - Triều Lên (QC - Mẫu trắng hiện trường);Tân Thuận - Triều Lên (QC - Mẫu trắng vận chuyển);Tân Thuận - Triều Lên (QC - Mẫu trắng thiết bị)
Kênh Tẻ;Triều Lên;HCM_NM_KT;HCM_NM_KT_L;Khu vực cầu Kênh Tẻ trên đường Nguyễn Hữu Thọ;Kênh Tẻ - HCM_NM_KT - Triều Lên;Kênh Tẻ - Triều Lên;Kênh Tẻ - Triều Lên (QC - Mẫu lặp hiện trường);Kênh Tẻ - Triều Lên (QC - Mẫu trắng hiện trường);Kênh Tẻ - Triều Lên (QC - Mẫu trắng vận chuyển);Kênh Tẻ - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Chữ Y;Triều Lên;HCM_NM_CCY;HCM_NM_CCY_L;Khu vực cầu Chữ Y, đoạn hợp lưu kênh Đôi - Kênh Tàu Hũ;Cầu Chữ Y - HCM_NM_CCY - Triều Lên;Cầu Chữ Y - Triều Lên;Cầu Chữ Y - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Chữ Y - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Chữ Y - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Chữ Y - Triều Lên (QC - Mẫu trắng thiết bị)
Chà Và;Triều Lên;HCM_NM_CV;HCM_NM_CV_L;Khu vực cầu Chà Và, Phường Phú Định;Chà Và - HCM_NM_CV - Triều Lên;Chà Và - Triều Lên;Chà Và - Triều Lên (QC - Mẫu lặp hiện trường);Chà Và - Triều Lên (QC - Mẫu trắng hiện trường);Chà Và - Triều Lên (QC - Mẫu trắng vận chuyển);Chà Và - Triều Lên (QC - Mẫu trắng thiết bị)
Chánh Hưng;Triều Lên;HCM_NM_CH;HCM_NM_CH_L;Khu vực cầu Chánh Hưng, phường Chánh Hưng;Chánh Hưng - HCM_NM_CH - Triều Lên;Chánh Hưng - Triều Lên;Chánh Hưng - Triều Lên (QC - Mẫu lặp hiện trường);Chánh Hưng - Triều Lên (QC - Mẫu trắng hiện trường);Chánh Hưng - Triều Lên (QC - Mẫu trắng vận chuyển);Chánh Hưng - Triều Lên (QC - Mẫu trắng thiết bị)
Nhị Thiên Đường;Triều Lên;HCM_NM_NTĐ;HCM_NM_NTĐ_L;Khu vực cầu Nhị Thiên Đường, phường Bình Đông;Nhị Thiên Đường - HCM_NM_NTĐ - Triều Lên;Nhị Thiên Đường - Triều Lên;Nhị Thiên Đường - Triều Lên (QC - Mẫu lặp hiện trường);Nhị Thiên Đường - Triều Lên (QC - Mẫu trắng hiện trường);Nhị Thiên Đường - Triều Lên (QC - Mẫu trắng vận chuyển);Nhị Thiên Đường - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Mống;Triều Xuống;HCM_NM_CMo;HCM_NM_CMo_X;Khu vực cầu Mống, phường Xóm Chiểu;Cầu Mống - HCM_NM_CMo - Triều Xuống;Cầu Mống - Triều Xuống;Cầu Mống - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Mống - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Mống - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Mống - Triều Xuống (QC - Mẫu trắng thiết bị)
Tân Thuận;Triều Xuống;HCM_NM_TThu;HCM_NM_TThu_X;Khu vực cầu Tân Thuận, phường Tân Thuận. Đoạn kênh Tẻ đổ ra sông Sài Gòn;Tân Thuận - HCM_NM_TThu - Triều Xuống;Tân Thuận - Triều Xuống;Tân Thuận - Triều Xuống (QC - Mẫu lặp hiện trường);Tân Thuận - Triều Xuống (QC - Mẫu trắng hiện trường);Tân Thuận - Triều Xuống (QC - Mẫu trắng vận chuyển);Tân Thuận - Triều Xuống (QC - Mẫu trắng thiết bị)
Kênh Tẻ;Triều Xuống;HCM_NM_KT;HCM_NM_KT_X;Khu vực cầu Kênh Tẻ trên đường Nguyễn Hữu Thọ;Kênh Tẻ - HCM_NM_KT - Triều Xuống;Kênh Tẻ - Triều Xuống;Kênh Tẻ - Triều Xuống (QC - Mẫu lặp hiện trường);Kênh Tẻ - Triều Xuống (QC - Mẫu trắng hiện trường);Kênh Tẻ - Triều Xuống (QC - Mẫu trắng vận chuyển);Kênh Tẻ - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Chữ Y;Triều Xuống;HCM_NM_CCY;HCM_NM_CCY_X;Khu vực cầu Chữ Y, đoạn hợp lưu kênh Đôi - Kênh Tàu Hũ;Cầu Chữ Y - HCM_NM_CCY - Triều Xuống;Cầu Chữ Y - Triều Xuống;Cầu Chữ Y - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Chữ Y - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Chữ Y - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Chữ Y - Triều Xuống (QC - Mẫu trắng thiết bị)
Chà Và;Triều Xuống;HCM_NM_CV;HCM_NM_CV_X;Khu vực cầu Chà Và, Phường Phú Định;Chà Và - HCM_NM_CV - Triều Xuống;Chà Và - Triều Xuống;Chà Và - Triều Xuống (QC - Mẫu lặp hiện trường);Chà Và - Triều Xuống (QC - Mẫu trắng hiện trường);Chà Và - Triều Xuống (QC - Mẫu trắng vận chuyển);Chà Và - Triều Xuống (QC - Mẫu trắng thiết bị)
Chánh Hưng;Triều Xuống;HCM_NM_CH;HCM_NM_CH_X;Khu vực cầu Chánh Hưng, phường Chánh Hưng;Chánh Hưng - HCM_NM_CH - Triều Xuống;Chánh Hưng - Triều Xuống;Chánh Hưng - Triều Xuống (QC - Mẫu lặp hiện trường);Chánh Hưng - Triều Xuống (QC - Mẫu trắng hiện trường);Chánh Hưng - Triều Xuống (QC - Mẫu trắng vận chuyển);Chánh Hưng - Triều Xuống (QC - Mẫu trắng thiết bị)
Nhị Thiên Đường;Triều Xuống;HCM_NM_NTĐ;HCM_NM_NTĐ_X;Khu vực cầu Nhị Thiên Đường, phường Bình Đông;Nhị Thiên Đường - HCM_NM_NTĐ - Triều Xuống;Nhị Thiên Đường - Triều Xuống;Nhị Thiên Đường - Triều Xuống (QC - Mẫu lặp hiện trường);Nhị Thiên Đường - Triều Xuống (QC - Mẫu trắng hiện trường);Nhị Thiên Đường - Triều Xuống (QC - Mẫu trắng vận chuyển);Nhị Thiên Đường - Triều Xuống (QC - Mẫu trắng thiết bị)
Hòa Bình;Triều Lên;HCM_NM_HB;HCM_NM_HB_L;Khu vực cống xả Hòa Bình, phía sau Công viên Văn hóa Đầm Sen, đoạn đường Nguyễn Trọng Quyền;Hòa Bình - HCM_NM_HB - Triều Lên;Hòa Bình - Triều Lên;Hòa Bình - Triều Lên (QC - Mẫu lặp hiện trường);Hòa Bình - Triều Lên (QC - Mẫu trắng hiện trường);Hòa Bình - Triều Lên (QC - Mẫu trắng vận chuyển);Hòa Bình - Triều Lên (QC - Mẫu trắng thiết bị)
Ông Buông;Triều Lên;HCM_NM_OB;HCM_NM_OB_L;Khu vực cầu Ông Buông, Phường Bình Tây;Ông Buông - HCM_NM_OB - Triều Lên;Ông Buông - Triều Lên;Ông Buông - Triều Lên (QC - Mẫu lặp hiện trường);Ông Buông - Triều Lên (QC - Mẫu trắng hiện trường);Ông Buông - Triều Lên (QC - Mẫu trắng vận chuyển);Ông Buông - Triều Lên (QC - Mẫu trắng thiết bị)
Rạch Ngựa;Triều Lên;HCM_NM_RN;HCM_NM_RN_L;Khu vực cầu Phú Định, đoạn hợp lưu rạch Ruột Ngựa – kênh Lò Gốm;Rạch Ngựa - HCM_NM_RN - Triều Lên;Rạch Ngựa - Triều Lên;Rạch Ngựa - Triều Lên (QC - Mẫu lặp hiện trường);Rạch Ngựa - Triều Lên (QC - Mẫu trắng hiện trường);Rạch Ngựa - Triều Lên (QC - Mẫu trắng vận chuyển);Rạch Ngựa - Triều Lên (QC - Mẫu trắng thiết bị)
Phú Định;Triều Lên;HCM_NM_PĐ;HCM_NM_PĐ_L;Khu vực gần Bến đò Hội Đồng, khúc giao giữa đường Lưu Hữu Phước và đường Cầu Bến Tranh;Phú Định - HCM_NM_PĐ - Triều Lên;Phú Định - Triều Lên;Phú Định - Triều Lên (QC - Mẫu lặp hiện trường);Phú Định - Triều Lên (QC - Mẫu trắng hiện trường);Phú Định - Triều Lên (QC - Mẫu trắng vận chuyển);Phú Định - Triều Lên (QC - Mẫu trắng thiết bị)
Hồ Ngọc Lãm;Triều Lên;HCM_NM_HNL;HCM_NM_HNL_L;Tại bến phà Phú Định;Hồ Ngọc Lãm - HCM_NM_HNL - Triều Lên;Hồ Ngọc Lãm - Triều Lên;Hồ Ngọc Lãm - Triều Lên (QC - Mẫu lặp hiện trường);Hồ Ngọc Lãm - Triều Lên (QC - Mẫu trắng hiện trường);Hồ Ngọc Lãm - Triều Lên (QC - Mẫu trắng vận chuyển);Hồ Ngọc Lãm - Triều Lên (QC - Mẫu trắng thiết bị)
Bình Ðiền;Triều Lên;HCM_NM_BĐ;HCM_NM_BĐ_L;Cầu Bình Điền, QL 1A;Bình Ðiền - HCM_NM_BĐ - Triều Lên;Bình Ðiền - Triều Lên;Bình Ðiền - Triều Lên (QC - Mẫu lặp hiện trường);Bình Ðiền - Triều Lên (QC - Mẫu trắng hiện trường);Bình Ðiền - Triều Lên (QC - Mẫu trắng vận chuyển);Bình Ðiền - Triều Lên (QC - Mẫu trắng thiết bị)
Chợ Đệm;Triều Lên;HCM_NM_CĐe;HCM_NM_CĐe_L;Tại khu vực cầu Chợ Đệm;Chợ Đệm - HCM_NM_CĐe - Triều Lên;Chợ Đệm - Triều Lên;Chợ Đệm - Triều Lên (QC - Mẫu lặp hiện trường);Chợ Đệm - Triều Lên (QC - Mẫu trắng hiện trường);Chợ Đệm - Triều Lên (QC - Mẫu trắng vận chuyển);Chợ Đệm - Triều Lên (QC - Mẫu trắng thiết bị)
Hòa Bình;Triều Xuống;HCM_NM_HB;HCM_NM_HB_X;Khu vực cống xả Hòa Bình, phía sau Công viên Văn hóa Đầm Sen, đoạn đường Nguyễn Trọng Quyền;Hòa Bình - HCM_NM_HB - Triều Xuống;Hòa Bình - Triều Xuống;Hòa Bình - Triều Xuống (QC - Mẫu lặp hiện trường);Hòa Bình - Triều Xuống (QC - Mẫu trắng hiện trường);Hòa Bình - Triều Xuống (QC - Mẫu trắng vận chuyển);Hòa Bình - Triều Xuống (QC - Mẫu trắng thiết bị)
Ông Buông;Triều Xuống;HCM_NM_OB;HCM_NM_OB_X;Khu vực cầu Ông Buông, Phường Bình Tây;Ông Buông - HCM_NM_OB - Triều Xuống;Ông Buông - Triều Xuống;Ông Buông - Triều Xuống (QC - Mẫu lặp hiện trường);Ông Buông - Triều Xuống (QC - Mẫu trắng hiện trường);Ông Buông - Triều Xuống (QC - Mẫu trắng vận chuyển);Ông Buông - Triều Xuống (QC - Mẫu trắng thiết bị)
Rạch Ngựa;Triều Xuống;HCM_NM_RN;HCM_NM_RN_X;Khu vực cầu Phú Định, đoạn hợp lưu rạch Ruột Ngựa – kênh Lò Gốm;Rạch Ngựa - HCM_NM_RN - Triều Xuống;Rạch Ngựa - Triều Xuống;Rạch Ngựa - Triều Xuống (QC - Mẫu lặp hiện trường);Rạch Ngựa - Triều Xuống (QC - Mẫu trắng hiện trường);Rạch Ngựa - Triều Xuống (QC - Mẫu trắng vận chuyển);Rạch Ngựa - Triều Xuống (QC - Mẫu trắng thiết bị)
Phú Định;Triều Xuống;HCM_NM_PĐ;HCM_NM_PĐ_X;Khu vực gần Bến đò Hội Đồng, khúc giao giữa đường Lưu Hữu Phước và đường Cầu Bến Tranh;Phú Định - HCM_NM_PĐ - Triều Xuống;Phú Định - Triều Xuống;Phú Định - Triều Xuống (QC - Mẫu lặp hiện trường);Phú Định - Triều Xuống (QC - Mẫu trắng hiện trường);Phú Định - Triều Xuống (QC - Mẫu trắng vận chuyển);Phú Định - Triều Xuống (QC - Mẫu trắng thiết bị)
Hồ Ngọc Lãm;Triều Xuống;HCM_NM_HNL;HCM_NM_HNL_X;Tại bến phà Phú Định;Hồ Ngọc Lãm - HCM_NM_HNL - Triều Xuống;Hồ Ngọc Lãm - Triều Xuống;Hồ Ngọc Lãm - Triều Xuống (QC - Mẫu lặp hiện trường);Hồ Ngọc Lãm - Triều Xuống (QC - Mẫu trắng hiện trường);Hồ Ngọc Lãm - Triều Xuống (QC - Mẫu trắng vận chuyển);Hồ Ngọc Lãm - Triều Xuống (QC - Mẫu trắng thiết bị)
Bình Ðiền;Triều Xuống;HCM_NM_BĐ;HCM_NM_BĐ_X;Cầu Bình Điền, QL 1A;Bình Ðiền - HCM_NM_BĐ - Triều Xuống;Bình Ðiền - Triều Xuống;Bình Ðiền - Triều Xuống (QC - Mẫu lặp hiện trường);Bình Ðiền - Triều Xuống (QC - Mẫu trắng hiện trường);Bình Ðiền - Triều Xuống (QC - Mẫu trắng vận chuyển);Bình Ðiền - Triều Xuống (QC - Mẫu trắng thiết bị)
Chợ Đệm;Triều Xuống;HCM_NM_CĐe;HCM_NM_CĐe_X;Tại khu vực cầu Chợ Đệm;Chợ Đệm - HCM_NM_CĐe - Triều Xuống;Chợ Đệm - Triều Xuống;Chợ Đệm - Triều Xuống (QC - Mẫu lặp hiện trường);Chợ Đệm - Triều Xuống (QC - Mẫu trắng hiện trường);Chợ Đệm - Triều Xuống (QC - Mẫu trắng vận chuyển);Chợ Đệm - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Rạch Ngang;Triều Lên;HCM_NM_CRN;HCM_NM_CRN_L;Trên đường Nguyễn Văn Linh cách Quốc lộ 50 khoảng 280 m theo hướng Đông Bắc;Cầu Rạch Ngang - HCM_NM_CRN - Triều Lên;Cầu Rạch Ngang - Triều Lên;Cầu Rạch Ngang - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Rạch Ngang - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Rạch Ngang - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Rạch Ngang - Triều Lên (QC - Mẫu trắng thiết bị)
Xóm Củi;Triều Lên;HCM_NM_XC;HCM_NM_XC_L;Trên cầu Xóm Củi giao giữa đường Nguyễn Văn Linh và rạch Hiệp An;Xóm Củi - HCM_NM_XC - Triều Lên;Xóm Củi - Triều Lên;Xóm Củi - Triều Lên (QC - Mẫu lặp hiện trường);Xóm Củi - Triều Lên (QC - Mẫu trắng hiện trường);Xóm Củi - Triều Lên (QC - Mẫu trắng vận chuyển);Xóm Củi - Triều Lên (QC - Mẫu trắng thiết bị)
Ông Lớn;Triều Lên;HCM_NM_OL;HCM_NM_OL_L;Khu vực cầu Ông Lớn trên đường Nguyễn Văn Linh;Ông Lớn - HCM_NM_OL - Triều Lên;Ông Lớn - Triều Lên;Ông Lớn - Triều Lên (QC - Mẫu lặp hiện trường);Ông Lớn - Triều Lên (QC - Mẫu trắng hiện trường);Ông Lớn - Triều Lên (QC - Mẫu trắng vận chuyển);Ông Lớn - Triều Lên (QC - Mẫu trắng thiết bị)
Cần Giuộc;Triều Lên;HCM_NM_CG;HCM_NM_CG_L;Tại khu vực cầu Cần Giuộc;Cần Giuộc - HCM_NM_CG - Triều Lên;Cần Giuộc - Triều Lên;Cần Giuộc - Triều Lên (QC - Mẫu lặp hiện trường);Cần Giuộc - Triều Lên (QC - Mẫu trắng hiện trường);Cần Giuộc - Triều Lên (QC - Mẫu trắng vận chuyển);Cần Giuộc - Triều Lên (QC - Mẫu trắng thiết bị)
Bà Lào;Triều Lên;HCM_NM_BLa;HCM_NM_BLa_L;Tại khu vực cầu Bà Lào;Bà Lào - HCM_NM_BLa - Triều Lên;Bà Lào - Triều Lên;Bà Lào - Triều Lên (QC - Mẫu lặp hiện trường);Bà Lào - Triều Lên (QC - Mẫu trắng hiện trường);Bà Lào - Triều Lên (QC - Mẫu trắng vận chuyển);Bà Lào - Triều Lên (QC - Mẫu trắng thiết bị)
Long Hậu Tân Kim;Triều Lên;HCM_NM_LHTK;HCM_NM_LHTK_L;Tại bến phà Long Hậu – Tân Kim;Long Hậu Tân Kim - HCM_NM_LHTK - Triều Lên;Long Hậu Tân Kim - Triều Lên;Long Hậu Tân Kim - Triều Lên (QC - Mẫu lặp hiện trường);Long Hậu Tân Kim - Triều Lên (QC - Mẫu trắng hiện trường);Long Hậu Tân Kim - Triều Lên (QC - Mẫu trắng vận chuyển);Long Hậu Tân Kim - Triều Lên (QC - Mẫu trắng thiết bị)
Hiệp Phước;Triều Lên;HCM_NM_HPh;HCM_NM_HPh_L;Khu vực gần cầu Đồng Điền;Hiệp Phước - HCM_NM_HPh - Triều Lên;Hiệp Phước - Triều Lên;Hiệp Phước - Triều Lên (QC - Mẫu lặp hiện trường);Hiệp Phước - Triều Lên (QC - Mẫu trắng hiện trường);Hiệp Phước - Triều Lên (QC - Mẫu trắng vận chuyển);Hiệp Phước - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Rạch Ngang;Triều Xuống;HCM_NM_CRN;HCM_NM_CRN_X;Trên đường Nguyễn Văn Linh cách Quốc lộ 50 khoảng 280 m theo hướng Đông Bắc;Cầu Rạch Ngang - HCM_NM_CRN - Triều Xuống;Cầu Rạch Ngang - Triều Xuống;Cầu Rạch Ngang - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Rạch Ngang - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Rạch Ngang - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Rạch Ngang - Triều Xuống (QC - Mẫu trắng thiết bị)
Xóm Củi;Triều Xuống;HCM_NM_XC;HCM_NM_XC_X;Trên cầu Xóm Củi giao giữa đường Nguyễn Văn Linh và rạch Hiệp An;Xóm Củi - HCM_NM_XC - Triều Xuống;Xóm Củi - Triều Xuống;Xóm Củi - Triều Xuống (QC - Mẫu lặp hiện trường);Xóm Củi - Triều Xuống (QC - Mẫu trắng hiện trường);Xóm Củi - Triều Xuống (QC - Mẫu trắng vận chuyển);Xóm Củi - Triều Xuống (QC - Mẫu trắng thiết bị)
Ông Lớn;Triều Xuống;HCM_NM_OL;HCM_NM_OL_X;Khu vực cầu Ông Lớn trên đường Nguyễn Văn Linh;Ông Lớn - HCM_NM_OL - Triều Xuống;Ông Lớn - Triều Xuống;Ông Lớn - Triều Xuống (QC - Mẫu lặp hiện trường);Ông Lớn - Triều Xuống (QC - Mẫu trắng hiện trường);Ông Lớn - Triều Xuống (QC - Mẫu trắng vận chuyển);Ông Lớn - Triều Xuống (QC - Mẫu trắng thiết bị)
Cần Giuộc;Triều Xuống;HCM_NM_CG;HCM_NM_CG_X;Tại khu vực cầu Cần Giuộc;Cần Giuộc - HCM_NM_CG - Triều Xuống;Cần Giuộc - Triều Xuống;Cần Giuộc - Triều Xuống (QC - Mẫu lặp hiện trường);Cần Giuộc - Triều Xuống (QC - Mẫu trắng hiện trường);Cần Giuộc - Triều Xuống (QC - Mẫu trắng vận chuyển);Cần Giuộc - Triều Xuống (QC - Mẫu trắng thiết bị)
Bà Lào;Triều Xuống;HCM_NM_BLa;HCM_NM_BLa_X;Tại khu vực cầu Bà Lào;Bà Lào - HCM_NM_BLa - Triều Xuống;Bà Lào - Triều Xuống;Bà Lào - Triều Xuống (QC - Mẫu lặp hiện trường);Bà Lào - Triều Xuống (QC - Mẫu trắng hiện trường);Bà Lào - Triều Xuống (QC - Mẫu trắng vận chuyển);Bà Lào - Triều Xuống (QC - Mẫu trắng thiết bị)
Long Hậu Tân Kim;Triều Xuống;HCM_NM_LHTK;HCM_NM_LHTK_X;Tại bến phà Long Hậu – Tân Kim;Long Hậu Tân Kim - HCM_NM_LHTK - Triều Xuống;Long Hậu Tân Kim - Triều Xuống;Long Hậu Tân Kim - Triều Xuống (QC - Mẫu lặp hiện trường);Long Hậu Tân Kim - Triều Xuống (QC - Mẫu trắng hiện trường);Long Hậu Tân Kim - Triều Xuống (QC - Mẫu trắng vận chuyển);Long Hậu Tân Kim - Triều Xuống (QC - Mẫu trắng thiết bị)
Hiệp Phước;Triều Xuống;HCM_NM_HPh;HCM_NM_HPh_X;Khu vực gần cầu Đồng Điền;Hiệp Phước - HCM_NM_HPh - Triều Xuống;Hiệp Phước - Triều Xuống;Hiệp Phước - Triều Xuống (QC - Mẫu lặp hiện trường);Hiệp Phước - Triều Xuống (QC - Mẫu trắng hiện trường);Hiệp Phước - Triều Xuống (QC - Mẫu trắng vận chuyển);Hiệp Phước - Triều Xuống (QC - Mẫu trắng thiết bị)
Cống Vàm Thuật;Triều Lên;HCM_NM_VT;HCM_NM_VT_L;Đoạn sông Vàm Thuật đi qua Khu dân cư Bình Lợi, khu vực cuối Đường Trục, phường Bình Lợi Trung;Cống Vàm Thuật - HCM_NM_VT - Triều Lên;Cống Vàm Thuật - Triều Lên;Cống Vàm Thuật - Triều Lên (QC - Mẫu lặp hiện trường);Cống Vàm Thuật - Triều Lên (QC - Mẫu trắng hiện trường);Cống Vàm Thuật - Triều Lên (QC - Mẫu trắng vận chuyển);Cống Vàm Thuật - Triều Lên (QC - Mẫu trắng thiết bị)
An Lộc;Triều Lên;HCM_NM_AL;HCM_NM_AL_L;Khu vực cầu An Lộc, nối đường Hà Huy Giáp và đường Nguyễn Oanh;An Lộc - HCM_NM_AL - Triều Lên;An Lộc - Triều Lên;An Lộc - Triều Lên (QC - Mẫu lặp hiện trường);An Lộc - Triều Lên (QC - Mẫu trắng hiện trường);An Lộc - Triều Lên (QC - Mẫu trắng vận chuyển);An Lộc - Triều Lên (QC - Mẫu trắng thiết bị)
Bến Cát;Triều Lên;HCM_NM_BCa;HCM_NM_BCa_L;Khu vực cầu Bến Cát nằm trên Quốc lộ 1A;Bến Cát - HCM_NM_BCa - Triều Lên;Bến Cát - Triều Lên;Bến Cát - Triều Lên (QC - Mẫu lặp hiện trường);Bến Cát - Triều Lên (QC - Mẫu trắng hiện trường);Bến Cát - Triều Lên (QC - Mẫu trắng vận chuyển);Bến Cát - Triều Lên (QC - Mẫu trắng thiết bị)
Trường Đai;Triều Lên;HCM_NM_TĐ;HCM_NM_TĐ_L;Tại khu vực cầu Trường Đai;Trường Đai - HCM_NM_TĐ - Triều Lên;Trường Đai - Triều Lên;Trường Đai - Triều Lên (QC - Mẫu lặp hiện trường);Trường Đai - Triều Lên (QC - Mẫu trắng hiện trường);Trường Đai - Triều Lên (QC - Mẫu trắng vận chuyển);Trường Đai - Triều Lên (QC - Mẫu trắng thiết bị)
Chợ Cầu;Triều Lên;HCM_NM_CC;HCM_NM_CC_L;Tại khu vực cầu Chợ Cầu;Chợ Cầu - HCM_NM_CC - Triều Lên;Chợ Cầu - Triều Lên;Chợ Cầu - Triều Lên (QC - Mẫu lặp hiện trường);Chợ Cầu - Triều Lên (QC - Mẫu trắng hiện trường);Chợ Cầu - Triều Lên (QC - Mẫu trắng vận chuyển);Chợ Cầu - Triều Lên (QC - Mẫu trắng thiết bị)
Tham Lương;Triều Lên;HCM_NM_TL;HCM_NM_TL_L;Khu vực cầu Tham Lương trên đường Trường Chinh;Tham Lương - HCM_NM_TL - Triều Lên;Tham Lương - Triều Lên;Tham Lương - Triều Lên (QC - Mẫu lặp hiện trường);Tham Lương - Triều Lên (QC - Mẫu trắng hiện trường);Tham Lương - Triều Lên (QC - Mẫu trắng vận chuyển);Tham Lương - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Bưng;Triều Lên;HCM_NM_CB;HCM_NM_CB_L;Cách cầu Bưng 760m về phía Đông Bắc;Cầu Bưng - HCM_NM_CB - Triều Lên;Cầu Bưng - Triều Lên;Cầu Bưng - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Bưng - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Bưng - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Bưng - Triều Lên (QC - Mẫu trắng thiết bị)
CN1;Triều Lên;HCM_NM_CN1;HCM_NM_CN1_L;Khu vực giao cầu của đường CN1 và kênh 19/5;CN1 - HCM_NM_CN1 - Triều Lên;CN1 - Triều Lên;CN1 - Triều Lên (QC - Mẫu lặp hiện trường);CN1 - Triều Lên (QC - Mẫu trắng hiện trường);CN1 - Triều Lên (QC - Mẫu trắng vận chuyển);CN1 - Triều Lên (QC - Mẫu trắng thiết bị)
Cống Vàm Thuật;Triều Xuống;HCM_NM_VT;HCM_NM_VT_X;Đoạn sông Vàm Thuật đi qua Khu dân cư Bình Lợi, khu vực cuối Đường Trục, phường Bình Lợi Trung;Cống Vàm Thuật - HCM_NM_VT - Triều Xuống;Cống Vàm Thuật - Triều Xuống;Cống Vàm Thuật - Triều Xuống (QC - Mẫu lặp hiện trường);Cống Vàm Thuật - Triều Xuống (QC - Mẫu trắng hiện trường);Cống Vàm Thuật - Triều Xuống (QC - Mẫu trắng vận chuyển);Cống Vàm Thuật - Triều Xuống (QC - Mẫu trắng thiết bị)
An Lộc;Triều Xuống;HCM_NM_AL;HCM_NM_AL_X;Khu vực cầu An Lộc, nối đường Hà Huy Giáp và đường Nguyễn Oanh;An Lộc - HCM_NM_AL - Triều Xuống;An Lộc - Triều Xuống;An Lộc - Triều Xuống (QC - Mẫu lặp hiện trường);An Lộc - Triều Xuống (QC - Mẫu trắng hiện trường);An Lộc - Triều Xuống (QC - Mẫu trắng vận chuyển);An Lộc - Triều Xuống (QC - Mẫu trắng thiết bị)
Bến Cát;Triều Xuống;HCM_NM_BCa;HCM_NM_BCa_X;Khu vực cầu Bến Cát nằm trên Quốc lộ 1A;Bến Cát - HCM_NM_BCa - Triều Xuống;Bến Cát - Triều Xuống;Bến Cát - Triều Xuống (QC - Mẫu lặp hiện trường);Bến Cát - Triều Xuống (QC - Mẫu trắng hiện trường);Bến Cát - Triều Xuống (QC - Mẫu trắng vận chuyển);Bến Cát - Triều Xuống (QC - Mẫu trắng thiết bị)
Trường Đai;Triều Xuống;HCM_NM_TĐ;HCM_NM_TĐ_X;Tại khu vực cầu Trường Đai;Trường Đai - HCM_NM_TĐ - Triều Xuống;Trường Đai - Triều Xuống;Trường Đai - Triều Xuống (QC - Mẫu lặp hiện trường);Trường Đai - Triều Xuống (QC - Mẫu trắng hiện trường);Trường Đai - Triều Xuống (QC - Mẫu trắng vận chuyển);Trường Đai - Triều Xuống (QC - Mẫu trắng thiết bị)
Chợ Cầu;Triều Xuống;HCM_NM_CC;HCM_NM_CC_X;Tại khu vực cầu Chợ Cầu;Chợ Cầu - HCM_NM_CC - Triều Xuống;Chợ Cầu - Triều Xuống;Chợ Cầu - Triều Xuống (QC - Mẫu lặp hiện trường);Chợ Cầu - Triều Xuống (QC - Mẫu trắng hiện trường);Chợ Cầu - Triều Xuống (QC - Mẫu trắng vận chuyển);Chợ Cầu - Triều Xuống (QC - Mẫu trắng thiết bị)
